section,station,next_station,optional_nodes
PUNE-LTT,TPND,NIIJ,
PUNE-LTT,NIIJ,"DTVL,DIVA",DTVL
PUNE-LTT,DTVL,DIVA,
PUNE-LTT,DIVA,"MBQ,T22,T21,KLVA","MBQ,T22,T21"
PUNE-LTT,MBQ,T22,
PUNE-LTT,T22,T21,
PUNE-LTT,T21,KLVA,
PUNE-LTT,KLVA,TNA,
PUNE-LTT,DIVA,"T20,TNA",T20
PUNE-LTT,T20,TNA,
PUNE-LTT,TNA,MLND,
PUNE-LTT,MLND,"NHU,BND",NHU
PUNE-LTT,NHU,BND,
PUNE-LTT,BND,"KJRD,VK",KJRD
PUNE-LTT,KJRD,VK,
PUNE-LTT,VK,GC,
PUNE-LTT,GC,VVH,
PUNE-LTT,VVH,LTT,
RN-CSMT,RN,"T469,BOKE,T468,UKC,T464,T463,SGR","T469,BOKE,T468,UKC,T464,T463"
RN-CSMT,T469,BOKE,
RN-CSMT,BOKE,T468,
RN-CSMT,T468,UKC,
RN-CSMT,UKC,T464,
RN-CSMT,T464,T463,
RN-CSMT,T463,SGR,
RN-CSMT,SGR,"T462,KDVI,T461,AVRD","T462,KDVI,T461"
RN-CSMT,T462,KDVI,
RN-CSMT,KDVI,T461,
RN-CSMT,T461,AVRD,
RN-CSMT,AVRD,"T460,T459,SVX","T460,T459"
RN-CSMT,T460,T459,
RN-CSMT,T459,SVX,
